,name,price,Unnamed: 2
0,مونوپاد1288,"900,000",
1,شارژر فندكيiohone,"500,000",
2,شارژر فندكي ldnio,"650,000",
3,فندكي آيفون 3,"600,000",
4,گارد,"54,000,000",
5,رابط گوشي به گوشي,"100,000",
6,شارژر كارتني S4,"650,000",
7,گارد سيليكوني,"55,900,000",
8,كابل پاور sisah,"120,000",
9,گلس سراميكي,"177,600,000",
10,سيم كارت,"35,200,000",
11,charger emy myشارژر,"350,000",
12,FM PLAYER2,"840,000",
13,تبديل otg-note,"240,000",
14,كابل 5پين usb,"1,620,000",
15,گلس تبلت,"53,200,000",
16,كيف تبلت,"22,750,000",
17,كيف زيپ دار,"100,000",
18,تبديل اندرويد آيفون,"480,000",
19,ريموت منوپاد,"120,000",
20,رم ريدر دو كاره,"600,000",
21,كابل hdmitc70,"500,000",
22,كله شارژر اصلي ipad,"400,000",
23,rock c,"350,000",
24,گارد my case,"1,200,000",
25,گارد سيليكوني ايفون,"32,000,000",
26,محافظ لنز 7,"900,000",
27,محافظ لنز 6,"180,000",
28,usb led,"250,000",
29,كاور سيليكوني,"400,000",
30,استاپ شارژ,"240,000",
31,mp3_mp4 4G player,"800,000",
32,نگهدارنده كابل,"360,000",
33,گلس فول,"156,000,000",
34,هندزفري بلوتوث جبرا mini u8,"2,400,000",
35,تبديل برق آيفون,"3,000,000",
36,هندزفري  LEVEL U PRO,"8,400,000",
37,كله شارژر اصلي S10پكدار,"3,200,000",
38,شارژر S9 ORG يكسال گارانتي,"800,000",
39,تبديل سه به دو seven,"2,100,000",
40,كابل S10 FAST,"1,200,000",
41,كابل  +NOTE10,"1,200,000",
42,اعتبار,"2,640,609,960",
43,پاوربانك HOCO J49/10000,"6,400,000",
44,كله شارژر پكدار IPH 7,"1,200,000",
45,كابل پاوربانك TYPE C,"1,080,000",
46,هلدر وايرلس S5,"1,200,000",
47,تبديل TYPE C الدرام,"250,000",
48,رم 64 APACER,"3,600,000",
49,تبلت LENOVO TAB M7-4G-Ram2-32G مشكي,"52,000,000",
50,ايرپاد PRO 4,"7,000,000",
51,گارد پشت مات فرم دار,"39,500,000",
52,كابل HOCO X37 MICRO,"600,000",
53,رينگلايت سلفي,"800,000",
54,هندزفري IPH 7piblue,"3,300,000",
55,كله شارژر DUDAO A8UK IPH,"2,200,000",
56,كابل HOCO X1 3 MICRO,"2,400,000",
57,كله شارژر آيفون 11,"4,200,000",
58,m6 64G,"1,600,000",
59,هدفون بلوتوث 450BT JBL,"1,800,000",
60,تبديل برق 2به 2,"1,190,000",
61,پاور بانك 1000 maxko,"8,400,000",
62,كاور سيليكوني ايرپاد پرو,"1,800,000",
63,بند فلزي apple watch milanese,"2,400,000",
64,بند چرم apple watch,"2,500,000",
65,كله سركارتني s10,"2,800,000",
66,سركارتني otg s10,"700,000",
67,محافظ كابل 4in 1,"750,000",
68,محافظ كابل عروسكي,"720,000",
69,كابل پاور فلت TYPE C,"2,200,000",
70,گلس امنيتي,"22,400,000",
71,تبديل سيم كارت پلاستيكي,"150,000",
72,گوشي سامسونگ A32 128G,"65,800,000",
73,گلس لنز دوربين اندرويدي,"3,000,000",
74,كابل aux فنري,"800,000",
75,گارد بتمني,"900,000",
76,كابل s7,"4,400,000",
77,كابل maxko 060 metal,"2,100,000",
78,كابل nafumi m9 -tpc,"4,500,000",
79,گارد شفاف لنزدار IP13,"2,250,000",
80,گوشي ايفون ابي با گارانتي IPHONE 13 PRO MAX 256G,"432,000,000",
81,گلس سوپر فول توري دار 13promax,"800,000",
82,گوشي ايفون 13Promax 256g مشكي,"479,000,000",
83,پاپ سوكت انگشتي مگنتي,"3,000,000",
84,كابل آيفون ALIARMI,"3,200,000",
85,كابل آيفون BOROF BX 19,"1,500,000",
86,هولدر مگنتي سكه اي,"3,200,000",
87,كابل پك دار IPH 12,"9,200,000",
88,گاردو گلس اپل واچ,"2,700,000",
89,بند سيليكوني اپل واچ,"4,800,000",
90,بند نايك اپل واچ,"1,100,000",
91,اسپيكر چمداني 1149A,"10,500,000",
92,سه پايه چيني,"1,800,000",
93,سه پايه گوشي فلزي,"2,500,000",
94,گارد شفاف آيفون دور رنگي,"16,200,000",
95,گارد DEZOE,"12,800,000",
96,اسپيكر L26,"8,400,000",
97,شارژر فندكي Remix,"1,800,000",
98,كابل Hoco x29,"800,000",
99,كابل پوست ماري micro,"1,600,000",
100,كله شارژر DUDAO-A2,"3,200,000",
101,كله شارژر DUDAO-A1 MAX,"2,400,000",
102,كابل DUDAO L10 TYPEC پاوربانكي,"600,000",
103,كابل DUDAO L10 IPH پاوربانكي,"1,200,000",
104,كابل DUDAO L10 Micro پاوربانكي,"800,000",
